dp_id,program_id,target_name,observed_at_utc,archive_snr,path,bytes,sha256,source_url
ADP.2020-11-20T01:24:25.672,106.21TJ.001,TOI-1203,2020-11-19T08:12:59.193792+00:00,121.4,data/harps_106_21tj/ADP.2020-11-20T01_24_25.672.fits,5264640,fc18f2caf86a79dfb5b63e8696c4a2312b8ff0a44faac7d85bab8e3e19c80017,https://dataportal.eso.org/dataPortal/file/ADP.2020-11-20T01:24:25.672
ADP.2022-07-08T01:10:02.814,106.21TJ.001,TOI-1203,2022-07-06T22:54:33.356736+00:00,105.7,data/harps_106_21tj/ADP.2022-07-08T01_10_02.814.fits,5264640,481eceaeef20a3f6bbd7841bf09ef24e1510fc9579d8c5b06c6af6e139690227,https://dataportal.eso.org/dataPortal/file/ADP.2022-07-08T01:10:02.814
ADP.2020-11-18T01:18:40.358,106.21TJ.001,HD39091,2020-11-17T06:31:56.924832+00:00,186.1,data/harps_106_21tj/ADP.2020-11-18T01_18_40.358.fits,5264640,3480cc806d9f68c3318a2a3f4d3535a74d8c41315ad332106963e26631d68cee,https://dataportal.eso.org/dataPortal/file/ADP.2020-11-18T01:18:40.358
ADP.2020-12-03T01:10:58.554,106.21TJ.001,HD39091,2020-12-02T05:08:48.623424+00:00,177.5,data/harps_106_21tj/ADP.2020-12-03T01_10_58.554.fits,5264640,7b794ba7c4a205e1e5553ae9230b8d7e1cb1fbdb35847b1227a66dd8dbcac822,https://dataportal.eso.org/dataPortal/file/ADP.2020-12-03T01:10:58.554
ADP.2021-09-17T01:03:12.717,106.21TJ.001,TOI-4399,2021-09-15T23:30:27.616320+00:00,156.7,data/harps_106_21tj/ADP.2021-09-17T01_03_12.717.fits,5264640,9c46256745ccba0bc267efd41b1ecc75b34ba48b824d2c812cfa80af7f99344f,https://dataportal.eso.org/dataPortal/file/ADP.2021-09-17T01:03:12.717
ADP.2022-07-08T01:10:02.854,106.21TJ.001,TOI-4399,2022-07-07T06:36:29.865888+00:00,104.5,data/harps_106_21tj/ADP.2022-07-08T01_10_02.854.fits,5264640,14a221c465bcf4c3ff600fa41fe7cdab604ab1016d3ca3943d5d70c8d6b3db50,https://dataportal.eso.org/dataPortal/file/ADP.2022-07-08T01:10:02.854
ADP.2020-11-10T01:23:36.359,106.21TJ.001,TOI-1054,2020-11-09T00:52:30.299520+00:00,125.7,data/harps_106_21tj/ADP.2020-11-10T01_23_36.359.fits,5264640,d85c189c64ab51337af4c322f01ebfcd688bce67de04549e300b43533dbdd3b9,https://dataportal.eso.org/dataPortal/file/ADP.2020-11-10T01:23:36.359
ADP.2022-03-18T01:02:33.932,106.21TJ.001,TOI-1054,2022-03-17T09:40:40.271232+00:00,119.7,data/harps_106_21tj/ADP.2022-03-18T01_02_33.932.fits,5264640,f225258a0d30c28208612dae5196b1bddc9a95b3f8069ea3caba39fa3a77076f,https://dataportal.eso.org/dataPortal/file/ADP.2022-03-18T01:02:33.932
ADP.2020-12-23T01:06:55.617,106.21TJ.001,TOI-1233,2020-12-22T08:09:11.748384+00:00,109.6,data/harps_106_21tj/ADP.2020-12-23T01_06_55.617.fits,5264640,62697581e061366d2a47251a38b7858de0eab62fb7c4d172fcd93e6782395544,https://dataportal.eso.org/dataPortal/file/ADP.2020-12-23T01:06:55.617
ADP.2021-05-26T01:01:31.042,106.21TJ.001,TOI-1233,2021-05-25T00:08:50.918496+00:00,104.0,data/harps_106_21tj/ADP.2021-05-26T01_01_31.042.fits,5264640,5fac872c921a8ba2300cfd9a52670c1ce68a7eeb81e5cce0800545f3150af40b,https://dataportal.eso.org/dataPortal/file/ADP.2021-05-26T01:01:31.042
ADP.2021-05-25T01:01:24.375,106.21TJ.001,TOI-2194,2021-05-24T06:06:57.827808+00:00,124.4,data/harps_106_21tj/ADP.2021-05-25T01_01_24.375.fits,5264640,a4d2f96aa00024c6a3fd2aedbf7059e76e807f8c69715704274e6ac48b12df51,https://dataportal.eso.org/dataPortal/file/ADP.2021-05-25T01:01:24.375
ADP.2021-09-20T01:01:05.131,106.21TJ.001,TOI-2194,2021-09-19T00:37:58.625472+00:00,112.6,data/harps_106_21tj/ADP.2021-09-20T01_01_05.131.fits,5264640,9cd397994cdb003648c90d80bbb766e12c271a8d9647d5a7328b8085e0f68113,https://dataportal.eso.org/dataPortal/file/ADP.2021-09-20T01:01:05.131
ADP.2020-12-10T01:12:05.357,106.21TJ.001,TOI-282,2020-12-09T03:04:54.532416+00:00,110.5,data/harps_106_21tj/ADP.2020-12-10T01_12_05.357.fits,5264640,936217940195a559ffbe9c70023aec280c4d599278782e14619d94fa2b867992,https://dataportal.eso.org/dataPortal/file/ADP.2020-12-10T01:12:05.357
ADP.2021-01-19T01:19:36.927,106.21TJ.001,TOI-282,2021-01-18T02:18:06.842592+00:00,104.5,data/harps_106_21tj/ADP.2021-01-19T01_19_36.927.fits,5264640,d65827a8136706abd6f2f1216ebd7aa9a51808464f30d8a4f957556398c80580,https://dataportal.eso.org/dataPortal/file/ADP.2021-01-19T01:19:36.927
ADP.2021-06-13T01:10:19.505,106.21TJ.001,TOI-261,2021-06-12T09:23:19.274784+00:00,103.4,data/harps_106_21tj/ADP.2021-06-13T01_10_19.505.fits,5264640,d82803e18c3b81523b59c68e436ffdf831618f97dd549eb960d6f2ace4432ce3,https://dataportal.eso.org/dataPortal/file/ADP.2021-06-13T01:10:19.505
ADP.2022-01-12T01:34:46.997,106.21TJ.001,TOI-261,2022-01-08T01:34:46.826400+00:00,102.4,data/harps_106_21tj/ADP.2022-01-12T01_34_46.997.fits,5264640,a3e97a5f28aaa85565ba0db6c86b0237969a1f8f886a516e4e86b1b379392f72,https://dataportal.eso.org/dataPortal/file/ADP.2022-01-12T01:34:46.997
ADP.2021-10-06T01:10:54.463,106.21TJ.001,HD   4915,2021-10-05T03:55:22.074816+00:00,108.4,data/harps_106_21tj/ADP.2021-10-06T01_10_54.463.fits,5264640,090a0a77075e2ece5aac59b02e1c14f9d426b0adc9569d67a8960cd91a041e1c,https://dataportal.eso.org/dataPortal/file/ADP.2021-10-06T01:10:54.463
ADP.2021-10-07T01:03:51.761,106.21TJ.001,HD   4915,2021-10-06T04:26:29.489856+00:00,103.5,data/harps_106_21tj/ADP.2021-10-07T01_03_51.761.fits,5264640,4fb12d066891f9054d7b27efdda2e6a32a11abc1dbe9a8e8062c3dbdee80f147,https://dataportal.eso.org/dataPortal/file/ADP.2021-10-07T01:03:51.761
ADP.2022-02-20T01:06:53.624,106.21TJ.001,TOI-2458,2022-02-19T00:15:10.071072+00:00,108.0,data/harps_106_21tj/ADP.2022-02-20T01_06_53.624.fits,5264640,ac6a8febc098fe54b250724dc40b777e708f91959291d894ab6fb9ae425a0f3c,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-20T01:06:53.624
ADP.2022-04-09T01:03:22.027,106.21TJ.001,TOI-2458,2022-04-07T23:24:33.478272+00:00,103.3,data/harps_106_21tj/ADP.2022-04-09T01_03_22.027.fits,5264640,273f834e134c0934ccb90d8d8c40e464edf8e6a2f3da81eff267cdc2a7355a9e,https://dataportal.eso.org/dataPortal/file/ADP.2022-04-09T01:03:22.027
