association_index,dataset_id,category,kind,expected_bytes,bytes,sha256,path,source_url
1,M.HARPS.2026-08-11T09:34:58.593,STD_TABLE,static,46080,46080,3a5ab46eda9c7201f8143a20e79cf311715e41bc8f5310eb9d859c87af642e59,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:34:58.593.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:34:58.593
2,M.HARPS.2026-08-11T09:35:01.410,MASK_LUT,static,8640,8640,a44cc1999dd72a2869fee42fa38d26b41dc61600873943b91d92248805bca774,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:35:01.410.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:35:01.410
3,M.HARPS.2026-08-11T09:34:25.623,EXT_TABLE,static,8640,8640,c297827a1ac4a5463f7a57d470bb179e7c24f2dc89a1bfc47583f032b5f94468,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:34:25.623.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:34:25.623
4,M.HARPS.2026-08-11T09:34:32.386,FLUX_TEMPLATE,static,31680,31680,4ce864bcdf349e67fea06f7491db982c833ee9524396787dfc614fae074d30f1,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:34:32.386.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:34:32.386
5,M.HARPS.2026-08-11T09:33:58.176,REL_EFF_B,static,1229760,1229760,aa06dcee379ed23045a30edcafd15ca796727fd1488213385917d3f5f577fc93,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:33:58.176.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:33:58.176
6,M.HARPS.2026-08-11T09:34:30.916,CCD_GEOM,static,23040,23040,fee3acdae813983cc6a44d2f4c16bce091422770a853174ed44ba5d1dcff58e6,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:34:30.916.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:34:30.916
7,M.HARPS.2026-08-11T09:33:59.773,HOT_PIXEL_MASK,static,33632640,33632640,91940d67086e0f7cb1c9ad00567a098a32e4866f0f90b3df6db584a7302b8292,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:33:59.773.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:33:59.773
8,M.HARPS.2026-08-11T09:33:46.483,BAD_PIXEL_MASK,static,33577920,33577920,b0af3c3ecc4f3a8f07c2cff6492ae619d20acc4be23acd481f5b5fce2b6a058d,data/harps_calibrations/night_2022-02-18/M.HARPS.2026-08-11T09:33:46.483.fits,https://dataportal.eso.org/dataPortal/file/M.HARPS.2026-08-11T09:33:46.483
9,HARPS.2022-02-18T20:09:14.821,ORDERDEF_A,raw,20493007,35256960,f8222d00d11e33bff18cdb6492812c02f757d4267dbf89f3ac84949b19ba967f,data/harps_calibrations/night_2022-02-18/HARPS.2022-02-18T20:09:14.821.fits,https://dataportal.eso.org/dataPortal/file/HARPS.2022-02-18T20:09:14.821
10,HARPS.2022-02-18T20:10:31.894,ORDERDEF_B,raw,19227223,35256960,10d7238dc2c0f6278dfd1d97f7ec2879166ed3444ed9574a4dc1678cb087cd66,data/harps_calibrations/night_2022-02-18/HARPS.2022-02-18T20:10:31.894.fits,https://dataportal.eso.org/dataPortal/file/HARPS.2022-02-18T20:10:31.894
