dp_id,obs_id,program_id,target_name,instrument_name,observed_at_utc,archive_snr,path,bytes,sha256,source_url
ADP.2022-02-17T01:09:52.145,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-16T01:27:52.181+00:00,70.0,data/toi2458_all_epochs/ADP.2022-02-17T01_09_52.145.fits,5264640,554a658e728dc5971aa80d44bfee6030fa1bacb1e2a749ed144857fee4cc1c4b,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-17T01:09:52.145
ADP.2022-02-18T01:08:20.617,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-17T01:26:40.203+00:00,79.4,data/toi2458_all_epochs/ADP.2022-02-18T01_08_20.617.fits,5264640,d417f9dc0024ef15ba04b1b1e830b347b74e006072a60f4f161845bcbf375caa,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-18T01:08:20.617
ADP.2022-02-21T09:05:19.614,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-18T00:17:52.636+00:00,94.8,data/toi2458_all_epochs/ADP.2022-02-21T09_05_19.614.fits,5264640,5185997358aeb01688e005c745eaabca19d2459b87880df629984713b56facb8,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-21T09:05:19.614
ADP.2022-02-21T09:05:19.620,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-18T01:58:30.212+00:00,86.9,data/toi2458_all_epochs/ADP.2022-02-21T09_05_19.620.fits,5264640,8122486c36b5963f31567118f71e49896d4e9b4bded69fa019240b2adc568524,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-21T09:05:19.620
ADP.2022-02-20T01:06:53.624,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-19T00:15:10.071+00:00,108.0,data/toi2458_all_epochs/ADP.2022-02-20T01_06_53.624.fits,5264640,ac6a8febc098fe54b250724dc40b777e708f91959291d894ab6fb9ae425a0f3c,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-20T01:06:53.624
ADP.2022-02-20T01:06:53.630,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-19T01:56:44.921+00:00,87.5,data/toi2458_all_epochs/ADP.2022-02-20T01_06_53.630.fits,5264640,cc8200229dc0aa20d27793ee826e2f401650690cfc990a1522d2a1f991a4733d,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-20T01:06:53.630
ADP.2022-02-21T01:01:25.324,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-20T00:14:55.621+00:00,93.4,data/toi2458_all_epochs/ADP.2022-02-21T01_01_25.324.fits,5264640,4bf94498719fa26ca5890acb528d07a631b2a27c522380d8dc5faa7a1e63e119,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-21T01:01:25.324
ADP.2022-02-21T01:01:25.326,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-20T01:21:24.900+00:00,95.4,data/toi2458_all_epochs/ADP.2022-02-21T01_01_25.326.fits,5264640,943bf5ffbb4fdf74fc02ed4e2db7686a2b81f83764eed15333b9ee7dacd8b081,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-21T01:01:25.326
ADP.2022-02-21T01:01:25.328,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-20T01:46:56.630+00:00,101.1,data/toi2458_all_epochs/ADP.2022-02-21T01_01_25.328.fits,5264640,65314e882ee17c3f90cc91e567ab24f53d316e80010813897b4ca9b6b04c0a67,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-21T01:01:25.328
ADP.2022-02-22T01:03:34.261,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-21T00:13:12.699+00:00,90.6,data/toi2458_all_epochs/ADP.2022-02-22T01_03_34.261.fits,5264640,5ab9ed2c8256110966d21528718eb48c8a17913b8cd5007a5b32dfb398c874c1,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-22T01:03:34.261
ADP.2022-02-22T01:03:34.267,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-21T01:53:03.032+00:00,89.7,data/toi2458_all_epochs/ADP.2022-02-22T01_03_34.267.fits,5264640,83bad9b91eef171fde4782ae11b8d344e0bbb3ccc6466e7caa31192a8dd46a54,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-22T01:03:34.267
ADP.2022-02-23T01:00:40.108,1000160900,106.21TJ.001,TOI-2458,HARPS,2022-02-22T00:11:38.491+00:00,100.5,data/toi2458_all_epochs/ADP.2022-02-23T01_00_40.108.fits,5264640,16fe71535ecf9eb967340a496fafda1c517f3593c0763672425c660ee5f1ab4b,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-23T01:00:40.108
