target_name,first_dp_id,second_dp_id,wavelength_barycentric_angstrom,first_topocentric_angstrom,second_topocentric_angstrom,feature_topocentric_angstrom,direction,peak_abs_z,prominence_z,fwhm_pixels,instrumental_fwhm_pixels,fwhm_to_instrument_ratio,residual_normalized_flux,brighter_epoch_excess_above_local_spectrum,strongest_nearby_opposite_sign_z,known_line,status,reason,cross_target_matches,gaussian_single_trial_log10_p,gaussian_global_log10_fap
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,3825.34,3825.35887,3825.36627,3825.36627,brighter_later,12.009,12.009,1.961,3.326,0.59,1.292578,1.114656,2.233,,low_sensitivity_spectral_edge,feature is in the low-sensitivity edge of the extracted spectrum,,-32.497,-27.526
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,4554.76,4554.78247,4554.79128,4554.78247,brighter_earlier,14.196,14.196,2.022,3.961,0.511,-0.221608,0.159024,2.34,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-45.013,-40.043
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,4612.44,4612.46275,4612.47167,4612.47167,brighter_later,19.796,19.796,1.834,4.011,0.457,0.282509,0.297976,2.626,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-86.492,-81.521
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,4638.21,4638.23288,4638.24185,4638.23288,brighter_earlier,24.599,24.599,1.368,4.033,0.339,-0.344468,0.334711,3.005,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-132.888,-127.917
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,4902.36,4902.38418,4902.39367,4902.38418,brighter_earlier,15.537,15.537,1.668,4.263,0.391,-0.203757,0.18557,2.28,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-53.71,-48.739
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,5711.53,5711.55817,5711.56922,5711.56922,brighter_later,8.946,8.946,3.617,4.967,0.728,0.10545,0.124536,1.877,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-18.433,-13.463
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,6775.07,6775.10342,6775.11653,6775.10342,brighter_earlier,9.441,9.441,2.401,5.891,0.408,-0.123862,0.117967,1.433,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-20.433,-15.462
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,4108.5,4108.56157,4108.53926,4108.53926,brighter_later,27.779,27.779,1.332,3.573,0.373,0.444606,0.470045,3.049,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-169.109,-164.138
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,5387.85,5387.93074,5387.90149,5387.93074,brighter_earlier,12.276,12.276,1.991,4.685,0.425,-0.099874,0.117198,2.817,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-33.914,-28.943
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,5400.7,5400.78093,5400.75161,5400.75161,brighter_later,26.442,26.442,2.026,4.696,0.431,0.208723,-0.112608,2.923,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-153.346,-148.375
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,5539.89,5539.97302,5539.94294,5539.97302,brighter_earlier,8.083,8.083,1.802,4.817,0.374,-0.063581,0.078297,3.009,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-15.199,-10.228
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6056.83,6056.92076,6056.88788,6056.88788,brighter_later,15.869,15.869,3.045,5.267,0.578,0.128386,0.132374,2.196,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-55.983,-51.013
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6167.68,6167.77242,6167.73894,6167.73894,brighter_later,13.915,13.915,3.913,5.363,0.73,0.126763,0.130912,2.572,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-43.289,-38.318
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6276.49,6276.58405,6276.54998,6276.54998,brighter_later,14.978,14.304,5.705,5.458,1.045,0.15844,-0.058042,13.683,,likely_stellar_absorption_variability,difference does not form a bright line above the local spectrum,,-49.99,-45.019
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6276.58,6276.67405,6276.63998,6276.67405,brighter_earlier,13.683,12.759,5.572,5.458,1.021,-0.144764,0.028104,16.074,,likely_stellar_absorption_variability,difference does not form a bright line above the local spectrum,,-41.892,-36.921
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6276.71,6276.80406,6276.76998,6276.76998,brighter_later,16.074,16.073,4.596,5.458,0.842,0.170093,0.020069,13.683,,likely_stellar_absorption_variability,difference does not form a bright line above the local spectrum,,-57.411,-52.44
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6276.78,6276.87406,6276.83998,6276.87406,brighter_earlier,13.561,11.519,4.533,5.458,0.831,-0.143515,-0.044474,16.074,,likely_stellar_absorption_variability,difference does not form a bright line above the local spectrum,,-41.166,-36.195
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6277.2,6277.29406,6277.25999,6277.25999,brighter_later,18.838,18.83,4.682,5.458,0.858,0.19951,-0.012317,16.879,,likely_stellar_absorption_variability,difference does not form a bright line above the local spectrum,,-78.433,-73.463
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6277.26,6277.35407,6277.31999,6277.35407,brighter_earlier,16.879,13.971,3.345,5.458,0.613,-0.178774,-0.05589,18.838,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-63.192,-58.221
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6277.32,6277.41407,6277.37999,6277.37999,brighter_later,8.228,5.736,3.232,5.459,0.592,0.087163,-0.028918,16.879,,likely_single_pixel_or_cosmic_ray,feature is narrower than the instrumental line-spread function,,-15.72,-10.75
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6277.53,6277.62407,6277.58999,6277.58999,brighter_later,12.588,12.509,4.843,5.459,0.887,0.133394,0.059324,12.557,,likely_alignment_or_line_profile_change,nearby opposite-sign residual is characteristic of a shifted or changing line,,-35.609,-30.638
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6277.59,6277.68407,6277.64999,6277.68407,brighter_earlier,12.557,10.273,4.243,5.459,0.777,-0.133077,-0.041099,12.588,,likely_stellar_absorption_variability,difference does not form a bright line above the local spectrum,,-35.439,-30.468
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,6277.97,6278.06408,6278.02999,6278.02999,brighter_later,20.767,20.759,5.896,5.459,1.08,0.22022,-0.141245,18.66,,likely_stellar_absorption_variability,difference does not form a bright line above the local spectrum,,-95.065,-90.094
