target_name,first_dp_id,second_dp_id,first_observed_at,second_observed_at,first_berv_kms,second_berv_kms,fitted_relative_shift_kms,valid_pixels,median_normalized_noise,candidate_count,follow_up_count,max_abs_z
HD   4915,ADP.2021-10-06T01:10:54.463,ADP.2021-10-07T01:03:51.761,2021-10-05T03:55:22.074816+00:00,2021-10-06T04:26:29.489856+00:00,-1.478675,-2.058705,-0.110445,308512,0.0129899,7,0,24.599
HD39091,ADP.2020-11-18T01:18:40.358,ADP.2020-12-03T01:10:58.554,2020-11-17T06:31:56.924832+00:00,2020-12-02T05:08:48.623424+00:00,-4.49234,-2.864911,0.052057,308601,0.0087723,137,0,27.779
TOI-1054,ADP.2020-11-10T01:23:36.359,ADP.2022-03-18T01:02:33.932,2020-11-09T00:52:30.299520+00:00,2022-03-17T09:40:40.271232+00:00,-22.816576,22.635554,-0.134851,308551,0.0122957,224,6,42.738
TOI-1203,ADP.2020-11-20T01:24:25.672,ADP.2022-07-08T01:10:02.814,2020-11-19T08:12:59.193792+00:00,2022-07-06T22:54:33.356736+00:00,19.777086,-23.586762,0.108404,308321,0.0131887,143,0,30.926
TOI-1233,ADP.2020-12-23T01:06:55.617,ADP.2021-05-26T01:01:31.042,2020-12-22T08:09:11.748384+00:00,2021-05-25T00:08:50.918496+00:00,19.129539,-11.216935,0.079112,308400,0.0140775,189,2,36.164
TOI-2194,ADP.2021-05-25T01:01:24.375,ADP.2021-09-20T01:01:05.131,2021-05-24T06:06:57.827808+00:00,2021-09-19T00:37:58.625472+00:00,23.176004,-25.708108,-0.038727,307076,0.0117687,165,2,39.328
TOI-2458,ADP.2022-02-20T01:06:53.624,ADP.2022-04-09T01:03:22.027,2022-02-19T00:15:10.071072+00:00,2022-04-07T23:24:33.478272+00:00,-26.419257,-24.651157,0.116109,308688,0.0133039,136,2,34.305
TOI-261,ADP.2021-06-13T01:10:19.505,ADP.2022-01-12T01:34:46.997,2021-06-12T09:23:19.274784+00:00,2022-01-08T01:34:46.826400+00:00,25.436434,-26.175905,0.135739,308494,0.0140041,187,0,38.24
TOI-282,ADP.2020-12-10T01:12:05.357,ADP.2021-01-19T01:19:36.927,2020-12-09T03:04:54.532416+00:00,2021-01-18T02:18:06.842592+00:00,-4.974167,-3.420253,0.194366,309094,0.0142936,152,1,45.482
TOI-4399,ADP.2021-09-17T01:03:12.717,ADP.2022-07-08T01:10:02.854,2021-09-15T23:30:27.616320+00:00,2022-07-07T06:36:29.865888+00:00,-22.428977,-1.675701,0.306622,309043,0.0111537,194,0,60.694
