target_name,wavelength_barycentric_angstrom,feature_dp_id,feature_excess_above_local_spectrum,feature_peak_wavelength,comparison_exposures,strongest_comparison_dp_id,strongest_comparison_excess,strongest_comparison_peak_wavelength,recurrence_threshold,recurrence_count,recurrence_status
TOI-1054,4251.2,ADP.2022-03-18T01:02:33.932,0.080317,4251.23,2,ADP.2022-10-16T01:01:37.563,-0.000795,4251.26,0.05,0,not_recurrent_in_downloaded_comparisons
TOI-1054,6109.82,ADP.2022-03-18T01:02:33.932,0.113538,6109.82,2,ADP.2022-10-16T01:01:37.563,0.020757,6109.83,0.056769,0,not_recurrent_in_downloaded_comparisons
TOI-1054,6116.58,ADP.2022-03-18T01:02:33.932,0.140286,6116.6,2,ADP.2020-11-10T01:23:36.359,0.02173,6116.62,0.070143,0,not_recurrent_in_downloaded_comparisons
TOI-1054,6315.46,ADP.2020-11-10T01:23:36.359,0.066299,6315.41,2,ADP.2022-03-18T01:02:33.932,0.055488,6315.36,0.05,2,recurrent
TOI-1054,6493.39,ADP.2020-11-10T01:23:36.359,0.016283,6493.29,2,ADP.2022-10-16T01:01:37.563,0.006968,6493.28,0.05,0,not_recurrent_in_downloaded_comparisons
TOI-1054,6496.37,ADP.2020-11-10T01:23:36.359,0.127288,6496.42,2,ADP.2022-10-16T01:01:37.563,0.124919,6496.42,0.063644,1,recurrent
TOI-1233,4360.31,ADP.2021-05-26T01:01:31.042,0.370723,4360.31,1,ADP.2020-12-23T01:06:55.617,0.223205,4360.33,0.185362,1,recurrent
TOI-1233,6575.24,ADP.2021-05-26T01:01:31.042,0.016641,6575.24,1,ADP.2020-12-23T01:06:55.617,0.014799,6575.16,0.05,0,not_recurrent_in_downloaded_comparisons
TOI-2194,6302.49,ADP.2021-09-20T01:01:05.131,-0.014153,6302.39,1,ADP.2021-05-25T01:01:24.375,-0.062632,6302.39,0.05,0,not_recurrent_in_downloaded_comparisons
TOI-2194,6307.05,ADP.2021-09-20T01:01:05.131,0.029625,6307.05,1,ADP.2021-05-25T01:01:24.375,-0.003774,6306.98,0.05,0,not_recurrent_in_downloaded_comparisons
TOI-2458,5761.26,ADP.2022-02-20T01:06:53.624,0.198032,5761.26,4,ADP.2022-02-21T01:01:25.324,0.038989,5761.23,0.099016,0,not_recurrent_in_downloaded_comparisons
TOI-2458,6432.95,ADP.2022-02-20T01:06:53.624,0.109438,6432.95,4,ADP.2022-02-18T01:08:20.617,0.026998,6432.96,0.054719,0,not_recurrent_in_downloaded_comparisons
TOI-282,6614.78,ADP.2020-12-10T01:12:05.357,0.211338,6614.79,3,ADP.2020-12-21T01:07:42.596,0.032932,6614.69,0.105669,0,not_recurrent_in_downloaded_comparisons
