candidate_wavelength_angstrom,candidate_topocentric_angstrom,dp_id,program_id,observed_at_utc,berv_kms,header_snr,is_feature_exposure,star_frame_peak_angstrom,star_frame_excess,star_frame_local_sigma,star_frame_local_z,observer_frame_query_barycentric_angstrom,observer_frame_peak_angstrom,observer_frame_excess,observer_frame_local_z,recurrence_threshold,recurrence_min_local_z
5761.26,5761.767757,ADP.2022-02-17T01:09:52.145,106.21TJ.001,2022-02-16T01:27:52.181+00:00,-26.02172,70.0,False,5761.19,0.0296804,0.0216586,1.37,5761.26764,5761.19,0.0296804,1.415,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-18T01:08:20.617,106.21TJ.001,2022-02-17T01:26:40.203+00:00,-26.20633,79.4,False,5761.26,0.0207222,0.015516,1.336,5761.264092,5761.26,0.0199562,1.282,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-21T09:05:19.614,106.21TJ.001,2022-02-18T00:17:52.636+00:00,-26.256229,94.8,False,5761.25,0.0356717,0.0242016,1.474,5761.263133,5761.25,0.0360726,1.595,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-21T09:05:19.620,106.21TJ.001,2022-02-18T01:58:30.212+00:00,-26.436841,86.95,False,5761.25,0.0307906,0.0195931,1.571,5761.259662,5761.25,0.0324818,1.488,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-20T01:06:53.624,106.21TJ.001,2022-02-19T00:15:10.071+00:00,-26.419257,108.0,True,5761.26,0.1980315,0.0315386,6.279,5761.26,5761.26,0.1980315,6.279,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-20T01:06:53.630,106.21TJ.001,2022-02-19T01:56:44.921+00:00,-26.599351,87.55,False,5761.26,0.028431,0.0200275,1.42,5761.256539,5761.26,0.0290058,1.214,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-21T01:01:25.324,106.21TJ.001,2022-02-20T00:14:55.621+00:00,-26.580738,93.4,False,5761.23,0.0389894,0.0214702,1.816,5761.256896,5761.23,0.0401267,1.582,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-21T01:01:25.326,106.21TJ.001,2022-02-20T01:21:24.900+00:00,-26.700202,95.45,False,5761.2,0.0341637,0.0316241,1.08,5761.2546,5761.2,0.0341637,1.01,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-21T01:01:25.328,106.21TJ.001,2022-02-20T01:46:56.630+00:00,-26.742754,101.15,False,5761.16,0.0155072,0.0196767,0.788,5761.253783,5761.16,0.0155072,0.788,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-22T01:03:34.261,106.21TJ.001,2022-02-21T00:13:12.699+00:00,-26.729024,90.65,False,5761.16,0.0279815,0.0158792,1.762,5761.254047,5761.16,0.0283866,1.697,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-22T01:03:34.267,106.21TJ.001,2022-02-21T01:53:03.032+00:00,-26.904203,89.7,False,5761.18,0.011976,0.0163405,0.733,5761.25068,5761.18,0.0123041,0.692,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-23T01:00:40.108,106.21TJ.001,2022-02-22T00:11:38.491+00:00,-26.87713,100.5,False,5761.27,0.0261781,0.0177545,1.474,5761.2512,5761.27,0.0261781,1.21,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-23T01:00:40.104,106.21TJ.001,2022-02-22T02:06:47.934+00:00,-27.072982,93.3,False,5761.27,0.0346266,0.0274765,1.26,5761.247436,5761.27,0.0359453,1.133,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-24T01:01:15.557,106.21TJ.001,2022-02-23T00:23:42.387+00:00,-27.031242,93.25,False,5761.2,0.025634,0.0215856,1.188,5761.248238,5761.2,0.0269503,1.115,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-24T01:01:15.563,106.21TJ.001,2022-02-23T02:13:40.722+00:00,-27.220188,76.0,False,5761.25,0.0296067,0.0210222,1.408,5761.244607,5761.25,0.0312597,1.284,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-25T01:01:16.362,106.21TJ.001,2022-02-24T00:17:02.230+00:00,-27.14686,81.7,False,5761.28,0.0198915,0.0227779,0.873,5761.246016,5761.28,0.0206067,0.857,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-25T01:01:16.368,106.21TJ.001,2022-02-24T02:09:40.815+00:00,-27.340149,78.3,False,5761.25,0.024542,0.0238479,1.029,5761.242301,5761.25,0.0259877,1.044,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-27T01:12:52.794,106.21TJ.001,2022-02-26T00:07:49.918+00:00,-27.365619,98.05,False,5761.28,0.0285206,0.0199019,1.433,5761.241812,5761.28,0.0293453,1.344,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-27T01:12:52.800,106.21TJ.001,2022-02-26T01:59:58.250+00:00,-27.551901,90.05,False,5761.21,0.0200616,0.0182133,1.101,5761.238232,5761.21,0.0200616,0.879,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-28T01:08:47.417,106.21TJ.001,2022-02-27T00:07:23.210+00:00,-27.467566,99.55,False,5761.23,0.0256851,0.0238764,1.076,5761.239852,5761.23,0.0229902,1.038,0.0990158,5.0
5761.26,5761.767757,ADP.2022-02-28T01:08:47.423,106.21TJ.001,2022-02-27T01:58:24.730+00:00,-27.650939,80.9,False,5761.17,0.0229183,0.0259547,0.883,5761.236328,5761.17,0.0257196,0.784,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-01T01:01:55.864,106.21TJ.001,2022-02-28T00:05:59.139+00:00,-27.560818,104.4,False,5761.27,0.0266819,0.0248455,1.074,5761.23806,5761.27,0.0275533,0.956,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-02T01:01:48.711,106.21TJ.001,2022-03-01T00:58:16.419+00:00,-27.732753,91.05,False,5761.16,0.0238503,0.0181548,1.314,5761.234756,5761.16,0.0268072,1.084,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-03T01:01:51.107,106.21TJ.001,2022-03-02T00:05:02.930+00:00,-27.718181,82.7,False,5761.22,0.0323472,0.0211282,1.531,5761.235036,5761.22,0.0381185,1.208,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-04T01:01:47.537,106.21TJ.001,2022-03-03T00:02:22.533+00:00,-27.781617,93.15,False,5761.29,0.0334368,0.0267119,1.252,5761.233817,5761.29,0.0347282,1.141,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-05T01:01:57.634,106.21TJ.001,2022-03-04T00:01:26.242+00:00,-27.839743,83.75,False,5761.29,0.0374761,0.0277869,1.349,5761.232699,5761.29,0.0430521,1.299,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-06T01:01:33.911,106.21TJ.001,2022-03-05T00:04:38.038+00:00,-27.89424,82.9,False,5761.17,0.0366446,0.0305085,1.201,5761.231652,5761.17,0.0381616,1.165,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-07T01:01:03.611,106.21TJ.001,2022-03-06T00:01:25.850+00:00,-27.928249,72.05,False,5761.27,0.0411988,0.0283787,1.452,5761.230998,5761.27,0.0424224,1.215,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-08T01:01:37.324,106.21TJ.001,2022-03-06T23:59:33.270+00:00,-27.958178,78.0,False,5761.18,0.0472314,0.0234366,2.015,5761.230423,5761.18,0.0525321,1.83,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-09T01:01:43.431,106.21TJ.001,2022-03-07T23:59:48.250+00:00,-27.98299,86.45,False,5761.29,0.0331189,0.0239749,1.381,5761.229946,5761.29,0.0379316,1.193,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-10T01:02:01.851,106.21TJ.001,2022-03-08T23:55:09.172+00:00,-27.988413,90.4,False,5761.25,0.0372298,0.0215275,1.729,5761.229842,5761.25,0.0396614,1.466,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-11T01:01:42.904,106.21TJ.001,2022-03-09T23:56:14.833+00:00,-27.996432,93.7,False,5761.23,0.0198888,0.0240476,0.827,5761.229688,5761.15,0.0350904,1.106,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-16T01:08:23.999,108.21YY.001,2022-03-15T00:38:56.437+00:00,-27.968041,73.85,False,5761.27,0.0371156,0.0235804,1.574,5761.230234,5761.27,0.0378422,1.259,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-20T01:01:31.167,106.21TJ.001,2022-03-18T23:55:16.711+00:00,-27.682787,77.8,False,5761.17,0.0253025,0.0258614,0.978,5761.235716,5761.17,0.0260069,0.944,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-20T01:01:31.171,106.21TJ.001,2022-03-19T00:39:15.140+00:00,-27.746107,69.0,False,5761.16,0.0281673,0.0237012,1.188,5761.234499,5761.15,0.0314222,1.118,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-21T01:01:37.477,106.21TJ.001,2022-03-19T23:47:55.280+00:00,-27.59714,82.55,False,5761.17,0.0199021,0.0243994,0.816,5761.237362,5761.17,0.0216941,0.812,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-22T01:01:24.721,106.21TJ.001,2022-03-20T23:43:24.078+00:00,-27.510469,86.75,False,5761.18,0.0405336,0.0200981,2.017,5761.239028,5761.18,0.0405336,1.821,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-23T01:01:28.597,106.21TJ.001,2022-03-21T23:45:10.830+00:00,-27.423609,92.9,False,5761.23,0.034445,0.0260662,1.321,5761.240697,5761.23,0.0321903,1.304,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-24T01:03:51.863,106.21TJ.001,2022-03-22T23:42:49.184+00:00,-27.323974,72.3,False,5761.18,0.0340533,0.016718,2.037,5761.242612,5761.18,0.0360723,1.724,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-25T01:07:01.314,106.21TJ.001,2022-03-23T23:36:31.848+00:00,-27.20946,68.25,False,5761.19,0.0357553,0.027545,1.298,5761.244813,5761.15,0.0389128,1.321,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-27T01:08:28.505,106.21TJ.001,2022-03-26T00:23:50.650+00:00,-27.039998,79.4,False,5761.21,0.0301563,0.0246765,1.222,5761.24807,5761.21,0.0301563,1.083,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-28T01:01:38.104,106.21TJ.001,2022-03-26T23:35:21.608+00:00,-26.845221,91.7,False,5761.17,0.0496777,0.0243028,2.044,5761.251813,5761.17,0.0502651,1.833,0.0990158,5.0
5761.26,5761.767757,ADP.2022-03-29T01:04:37.127,106.21TJ.001,2022-03-28T00:33:52.921+00:00,-26.783796,76.8,False,5761.22,0.0369163,0.0285367,1.294,5761.252994,5761.22,0.0369163,1.292,0.0990158,5.0
