dp_id,obs_id,proposal_id,target_name,instrument_name,t_min,t_exptime,em_res_power,snr,access_estsize,access_url
ADP.2022-02-17T01:09:52.145,1000160900,106.21TJ.001,TOI-2458,HARPS,59626.06102061,1199.996,115000.0,70.0,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-17T01:09:52.145
ADP.2022-02-18T01:08:20.617,1000160900,106.21TJ.001,TOI-2458,HARPS,59627.06018753,1499.996,115000.0,79.4,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-18T01:08:20.617
ADP.2022-02-21T09:05:19.614,1000160900,106.21TJ.001,TOI-2458,HARPS,59628.01241477,1499.996,115000.0,94.8,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-21T09:05:19.614
ADP.2022-02-21T09:05:19.620,1000160900,106.21TJ.001,TOI-2458,HARPS,59628.08229412,1499.996,115000.0,86.9,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-21T09:05:19.620
ADP.2022-02-20T01:06:53.624,1000160900,106.21TJ.001,TOI-2458,HARPS,59629.01053323,1499.996,115000.0,108.0,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-20T01:06:53.624
ADP.2022-02-20T01:06:53.630,1000160900,106.21TJ.001,TOI-2458,HARPS,59629.08107548,1499.996,115000.0,87.5,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-20T01:06:53.630
ADP.2022-02-21T01:01:25.324,1000160900,106.21TJ.001,TOI-2458,HARPS,59630.01036598,1499.996,115000.0,93.4,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-21T01:01:25.324
ADP.2022-02-21T01:01:25.326,1000160900,106.21TJ.001,TOI-2458,HARPS,59630.05653819,1499.996,115000.0,95.4,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-21T01:01:25.326
ADP.2022-02-21T01:01:25.328,1000160900,106.21TJ.001,TOI-2458,HARPS,59630.07426655,1499.996,115000.0,101.1,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-21T01:01:25.328
ADP.2022-02-22T01:03:34.261,1000160900,106.21TJ.001,TOI-2458,HARPS,59631.00917476,1499.996,115000.0,90.6,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-22T01:03:34.261
ADP.2022-02-22T01:03:34.267,1000160900,106.21TJ.001,TOI-2458,HARPS,59631.07850732,1499.996,115000.0,89.7,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-22T01:03:34.267
ADP.2022-02-23T01:00:40.108,1000160900,106.21TJ.001,TOI-2458,HARPS,59632.00808439,1799.996,115000.0,100.5,5264,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2022-02-23T01:00:40.108
